id,name,image,effect,required for,description,dlc
0,Forager Brood Cookbook [6],http://eldenring.wiki.fextralife.com/file/Elden-Ring/forager_brood_cookbook_6_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Well-Pickled Turtle Neck'],A record of crafting techniques left by the non-human forager brood. Shared out of kindness toward Moore and his kin. Acquire the knowledge to craft the following: - Well-Pickled Turtle Neck,1
1,Forager Brood Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/forager_brood_cookbook_1_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Spellproof Pickled Liver'],A record of crafting techniques left by the non-human forager brood. Shared out of kindness toward Moore and his kin. Acquire the knowledge to craft the following: - Spellproof Pickled Liver,1
2,Forager Brood Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/forager_brood_cookbook_2_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Fireproof Pickled Liver'],A record of crafting techniques left by the non-human forager brood. Shared out of kindness toward Moore and his kin. Acquire the knowledge to craft the following: - Fireproof Pickled Liver,1
3,Forager Brood Cookbook [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/forager_brood_cookbook_3_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Lightningproof Pickled Liver'],A record of crafting techniques left by the non-human forager brood. Shared out of kindness toward Moore and his kin. Acquire the knowledge to craft the following: - Lightningproof Pickled Liver,1
4,Forager Brood Cookbook [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/forager_brood_cookbook_4_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Holyproof Pickled Liver'],A record of crafting techniques left by the non-human forager brood. Shared out of kindness toward Moore and his kin. Acquire the knowledge to craft the following: - Holyproof Pickled Liver,1
5,Forager Brood Cookbook [5],http://eldenring.wiki.fextralife.com/file/Elden-Ring/forager_brood_cookbook_5_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Opaline Pickled Liver'],A record of crafting techniques left by the non-human forager brood. Shared out of kindness toward Moore and his kin. Acquire the knowledge to craft the following: - Opaline Pickled Liver,1
6,Igon's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Dragon Communion Flesh'],"A record of crafting techniques left by a warrior who challenged the vile dragon Bayle, only to be grievously injured and broken by fear. Contains details on how a mere mortal can fell a mighty dragon. Acquire the knowledge to craft the following: - Dragon Communion Flesh",1
7,Finger-Weaver's Cookbook [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/finger_weavers_cookbook_elden_ring_sote_wiki_guide200px.png,Expands crafting repertoire,['Fingerprint Nostrum'],"A record of crafting techniques left by a determined student of the finger ruins. His brush with the sublime all but shattered his mind, though he was left capable enough to leave these few precious words. Acquire the knowledge to craft the following: - Fingerprint Nostrum",1
8,Greater Potentate's Cookbook [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Fire Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Fire Pot",1
9,Greater Potentate's Cookbook [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/greater_potentates_cookbook_cookbooks_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Expands crafting repertoire,['Hefty Magic Pot'],"A record of crafting techniques of the greater potentate who roamed lands near and far. Haunted by the grotesque practice of his village of birth, he stuffed great pots with all manner of things. Acquire the knowledge to craft the following: - Hefty Magic Pot",1
