id,name,image,effect,FP cost,description,dlc
0,Hefty Cracked Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hefty_cracked_pot_container_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Container required for crafting hefty cracked pot items,"
        Found across Shadow Realms. 
      ",This hefty empty pot somehow mends itself when broken. Essential vessel for crafting hefty cracked pot items. The materials and magics sealed within deploy their effects when the pot is thrown. The greater potentates of Bonny Village craft these and store them in a frozen gaol.,1
1,Beast Horn,http://eldenring.wiki.fextralife.com/file/Elden-Ring/beast_horn_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting horned beasts of the realm of shadow 
      ","Horn suffused with spirituality. Material used for crafting items. Found by hunting horned beasts of the realm of shadow. The Crucible has a particularly strong influence on the beasts of the realm of shadow, causing many to grow horns despite the characteristics of their species.",1
2,Spirit Calculus,http://eldenring.wiki.fextralife.com/file/Elden-Ring/spirit_calculus_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting horned beasts in ancient ruins 
      ","An exceedingly rare to find calculus, suffused with spirituality. Material used for crafting items. Found by hunting horned beasts in the Ancient Ruins of Rauh. Has a distinctive acrid odor, which some claim to be a sign of particular spiritual potency.",1
3,Pearlescent Scale,http://eldenring.wiki.fextralife.com/file/Elden-Ring/pearlescent_scale_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting lamprey 
      ",A glassy and glistening fragment of pearlescent hue. Material used for crafting items. Found by hunting lamprey. These retrograde scales are found embedded deep within the skin of lamprey.,1
4,Scorpion Liver,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scorpion_liver_1_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting spider-scorpions 
      ","Fresh organ of a spider-scorpion. It is referred to as 'liver,' but no one is quite sure of its purpose. Material used for crafting items. Found by hunting spider-scorpions. A delicacy known for its numbing toxins.",1
5,Fly Mold,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fly_mold_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting man-flies 
      ","A species of fungus known for its deathly sweet stench. Material used for crafting items. Found by hunting man-flies. Cultivated using the flesh and blood of man-flies, it can serve as pot innards.",1
6,Rada Fruit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rada_fruit_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Easily found everywhere in the realm of shadow 
      ","Berry-like fruit that grows into spiritgrave grass. Material used for crafting items. Easily found everywhere in the realm of shadow, though its bitter taste makes it unsuitable for consumption by humans.",1
7,Redflesh Mushroom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/redflesh_mushroom_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Easily found everywhere in the realm of shadow 
      ","Red mushroom that grows in sullen lands. Material used for crafting items. Easily found everywhere in the realm of shadow. The flesh of the mushroom is similar to raw meat, and can serve as pot innards.",1
8,Whiteflesh Mushroom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/whiteflesh_mushroom_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Easily found everywhere in the realm of shadow 
      ","Milky-white mushroom that grows in sullen lands. Material used for crafting items. Easily found everywhere in the realm of shadow. The flesh of the mushroom is similar to raw meat, and can serve as pot innards.",1
9,Knot Resin,http://eldenring.wiki.fextralife.com/file/Elden-Ring/knot_resin_crafting_material_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Material used for crafting items,"
        Found near tree roots everywhere in the realm of shadow 
      ","Knot-shaped lump of resin that exuded from the roots of trees. Material used for crafting items. Found near tree roots everywhere in the realm of shadow. Serves as a primitive catalyst, making it suitable for processing using sorceries, incantations, and the like.",1
